Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,TransData,AI Core,1,6.12,6.12,6.12,6.12,68.764045
0,AtomicAddrClean,AI Core,1,2.78,2.78,2.78,2.78,31.235955
1,TransData,AI Core,4,6.11,1.38,1.527,1.88,100.0
10,TransData,AI Core,40,199.68,4.06,4.992,6.06,79.94555
10,AtomicAddrClean,AI Core,40,50.09,1.23,1.252,1.81,20.05445
100,DepthwiseConv2D,AI Core,8,7606.28,0.01,950.785,1542.03,97.865841
100,TransposeD,AI Core,8,139.83,0.01,17.478,61.51,1.799116
100,TransData,AI Core,7,26.04,0.89,3.72,5.53,0.335042
101,Add,AI Core,21,576.34,0.0,27.444,60.04,100.0
102,MaxPoolWithArgmaxV1,AI Core,8,2716.14,1.34,339.517,606.63,100.0
103,AvgPool,AI Core,4,299.66,0.01,74.915,131.96,100.0
104,DepthwiseConv2D,AI Core,4,2077.9,0.0,519.475,1030.32,89.357438
104,TransData,AI Core,7,225.33,1.38,32.19,90.11,9.690029
104,TransposeD,AI Core,4,22.15,4.23,5.537,7.24,0.952532
105,AvgPool,AI Core,4,132.77,0.01,33.192,66.39,100.0
106,DepthwiseConv2D,AI Core,8,3947.17,0.01,493.396,978.2,92.1018
106,TransposeD,AI Core,8,300.35,0.01,37.543,245.34,7.008255
106,TransData,AI Core,7,38.14,1.32,5.448,20.44,0.889945
107,TransData,AI Core,16,366.36,0.0,22.897,51.56,71.374856
107,ConcatD,AI Core,4,146.93,1.39,36.732,65.69,28.625144
108,TransData,AI Core,16,1049.58,0.01,65.598,219.52,62.134371
108,AvgPool,AI Core,7,639.63,1.32,91.375,223.86,37.865629
109,TransData,AI Core,8,157.71,1.32,19.713,38.78,58.733055
109,Conv2D,AI Core,7,110.81,1.38,15.83,25.86,41.266945
11,TransData,AI Core,7,39.54,5.28,5.648,5.97,77.407987
11,AtomicAddrClean,AI Core,7,11.54,1.54,1.648,1.87,22.592013
110,TransData,AI Core,8,416.82,0.01,52.102,255.48,84.190753
110,ConcatD,AI Core,4,78.27,1.7,19.567,28.65,15.809247
111,TransData,AI Core,12,348.52,0.01,29.043,222.89,72.341574
111,BNTrainingReduce,AI Core,3,88.37,0.88,29.456,43.88,18.342778
111,AtomicAddrClean,AI Core,4,44.88,1.29,11.22,40.85,9.315649
112,TransData,AI Core,30,908.91,0.0,30.297,476.8,90.269046
112,BNTrainingUpdate,AI Core,4,97.98,1.29,24.495,47.53,9.730954
113,Relu,AI Core,7,456.05,1.15,65.15,113.45,100.0
114,TransData,AI Core,8,332.94,1.07,41.617,100.52,53.93313
114,Conv2D,AI Core,7,284.38,1.07,40.625,61.46,46.06687
115,BNTrainingReduce,AI Core,150,8396.43,0.01,55.976,1029.0,59.317223
115,AtomicAddrClean,AI Core,150,5758.7,0.0,38.391,682.45,40.682777
116,BNTrainingUpdate,AI Core,149,8573.04,0.0,57.537,1031.12,100.0
117,Relu,AI Core,115,6862.15,0.0,59.67,1429.46,100.0
118,DepthwiseConv2D,AI Core,48,49203.72,0.01,1025.077,1664.16,93.88439
118,TransData,AI Core,47,2054.17,0.0,43.705,1034.57,3.919511
118,TransposeD,AI Core,46,1150.95,1.08,25.02,263.51,2.196099
119,Conv2D,AI Core,128,6953.39,0.0,54.323,1113.07,100.0
12,TransData,AI Core,2,15.97,7.44,7.985,8.53,79.452736
12,AtomicAddrClean,AI Core,2,4.13,1.83,2.065,2.3,20.547264
120,Relu,AI Core,12,368.3,0.0,30.691,67.48,100.0
121,DepthwiseConv2D,AI Core,8,5040.59,0.0,630.073,1261.06,95.411328
121,TransData,AI Core,15,168.67,0.98,11.244,36.56,3.192688
121,TransposeD,AI Core,8,73.75,1.07,9.218,40.81,1.395984
122,DepthwiseConv2D,AI Core,68,63766.35,0.87,937.74,1393.41,93.602875
122,TransposeD,AI Core,70,2633.33,0.0,37.619,1032.78,3.865475
122,TransData,AI Core,70,1724.67,0.84,24.638,440.57,2.53165
123,Add,AI Core,56,3646.82,0.01,65.121,849.63,100.0
124,DepthwiseConv2D,AI Core,4,3155.66,1.19,788.915,1577.66,89.052627
124,TransData,AI Core,8,340.83,1.07,42.603,255.08,9.618212
124,TransposeD,AI Core,4,47.1,1.13,11.775,31.66,1.329161
125,AvgPool,AI Core,31,2638.63,0.0,85.117,327.54,100.0
126,TransData,AI Core,4,284.67,1.07,71.167,177.21,67.64007
126,Add,AI Core,4,136.19,1.19,34.047,47.25,32.35993
127,TransData,AI Core,15,2681.78,0.0,178.785,1542.17,58.919242
127,AvgPool,AI Core,8,1869.84,1.08,233.73,1533.88,41.080758
128,Add,AI Core,30,1142.37,0.01,38.079,211.29,100.0
129,ConcatD,AI Core,4,639.34,1.05,159.835,319.42,54.542352
129,TransData,AI Core,15,532.85,0.0,35.523,61.73,45.457648
13,TransData,AI Core,240,2815.41,10.77,11.73,13.2,100.0
130,Relu,AI Core,24,5275.57,0.85,219.815,320.97,100.0
131,TransData,AI Core,15,3263.23,0.85,217.548,324.39,58.706497
131,Conv2D,AI Core,15,2295.32,1.03,153.021,223.87,41.293503
132,TransData,AI Core,54,4626.71,1.09,85.679,1113.04,69.135653
132,ConcatD,AI Core,9,2065.51,2.92,229.501,319.54,30.864347
133,TransData,AI Core,6,1279.85,1.02,213.308,323.23,59.951752
133,Conv2D,AI Core,6,854.95,10.52,142.491,203.71,40.048248
134,BNTrainingReduce,AI Core,6,326.76,1.64,54.46,79.89,92.292049
134,AtomicAddrClean,AI Core,6,27.29,1.38,4.548,16.81,7.707951
135,BNTrainingUpdate,AI Core,6,509.07,5.53,84.845,115.97,100.0
136,Relu,AI Core,12,1027.04,1.35,85.586,166.25,100.0
137,DepthwiseConv2D,AI Core,6,837.81,0.77,139.635,196.35,88.217456
137,TransposeD,AI Core,6,85.81,5.28,14.301,40.73,9.03539
137,TransData,AI Core,6,26.09,0.88,4.348,5.52,2.747154
138,Conv2D,AI Core,149,5131.69,0.85,34.44,706.24,100.0
139,AtomicAddrClean,AI Core,170,9215.17,0.81,54.206,3614.16,53.370411
139,BNTrainingReduce,AI Core,168,8051.27,0.0,47.924,3612.34,46.629589
14,TransData,AI Core,50,333.57,6.16,6.671,7.19,81.56344
14,AtomicAddrClean,AI Core,50,75.4,1.44,1.508,1.72,18.43656
140,BNTrainingUpdate,AI Core,171,5115.97,0.0,29.917,328.34,100.0
141,Relu,AI Core,129,5293.41,0.76,41.034,709.84,100.0
142,DepthwiseConv2D,AI Core,51,11564.36,0.95,226.752,3607.73,65.157601
142,TransposeD,AI Core,51,5218.77,0.01,102.328,3605.71,29.404354
142,TransData,AI Core,51,965.16,1.02,18.924,292.01,5.438045
143,DepthwiseConv2D,AI Core,6,1525.68,76.82,254.28,307.28,75.611062
143,TransposeD,AI Core,6,404.02,0.92,67.336,332.43,20.022797
143,TransData,AI Core,6,88.1,2.13,14.683,51.52,4.366141
144,DepthwiseConv2D,AI Core,6,1349.59,3.36,224.931,327.47,72.96856
144,TransData,AI Core,6,250.96,4.87,41.826,212.44,13.568706
144,TransposeD,AI Core,6,249.0,2.29,41.5,175.77,13.462734
145,Add,AI Core,72,2836.34,1.02,39.393,709.61,100.0
146,MaxPoolWithArgmaxV1,AI Core,6,1518.43,1.73,253.071,378.75,100.0
147,AvgPool,AI Core,3,298.76,61.36,99.586,119.45,100.0
148,AvgPool,AI Core,33,4781.18,1.09,144.884,3604.43,100.0
149,DepthwiseConv2D,AI Core,72,33296.74,0.01,462.454,695.18,81.675277
149,TransData,AI Core,71,4816.91,0.8,67.843,3611.61,11.815645
149,TransposeD,AI Core,72,2653.57,0.01,36.855,708.97,6.509078
15,TransData,AI Core,2,17.33,8.35,8.665,8.98,81.285178
15,AtomicAddrClean,AI Core,2,3.99,1.64,1.995,2.35,18.714822
150,TransData,AI Core,12,2790.76,2.22,232.563,709.74,93.663494
150,ConcatD,AI Core,3,188.8,60.64,62.933,65.37,6.336506
151,TransData,AI Core,12,4256.86,1.05,354.738,726.8,88.330708
151,AvgPool,AI Core,6,562.37,0.8,93.728,123.45,11.669292
152,TransData,AI Core,6,2092.6,0.97,348.766,521.32,91.715535
152,Conv2D,AI Core,6,189.02,3.78,31.503,44.81,8.284465
153,ConcatD,AI Core,3,744.55,17.64,248.183,708.91,57.27572
153,TransData,AI Core,6,555.39,3.58,92.565,128.75,42.72428
154,TransData,AI Core,9,453.71,1.24,50.412,166.38,71.905607
154,BNTrainingReduce,AI Core,3,114.96,23.59,38.32,67.76,18.219278
154,AtomicAddrClean,AI Core,3,62.31,1.35,20.77,59.61,9.875115
155,TransData,AI Core,24,1222.81,1.02,50.95,257.44,95.405321
155,BNTrainingUpdate,AI Core,3,58.89,0.83,19.63,29.2,4.594679
156,Relu,AI Core,6,514.09,1.48,85.681,110.5,100.0
157,TransData,AI Core,6,3125.12,1.01,520.853,942.89,90.458644
157,Conv2D,AI Core,6,329.63,1.48,54.938,80.93,9.541356
158,Relu,AI Core,9,325.54,1.44,36.171,75.91,100.0
159,TransposeD,AI Core,6,3668.29,4.21,611.381,3604.28,50.244216
159,DepthwiseConv2D,AI Core,6,2738.14,5.82,456.356,674.67,37.504041
159,TransData,AI Core,12,894.49,1.06,74.54,167.28,12.251744
16,TransData,AI Core,7,78.86,10.83,11.265,11.71,85.866725
16,AtomicAddrClean,AI Core,7,12.98,1.75,1.854,2.03,14.133275
160,DepthwiseConv2D,AI Core,3,1088.83,189.61,362.943,709.57,71.8491
160,TransData,AI Core,6,402.71,3.81,67.118,167.58,26.5738
160,TransposeD,AI Core,3,23.9,3.47,7.966,10.34,1.5771
161,TransData,AI Core,3,589.2,65.05,196.4,262.09,89.334991
161,Add,AI Core,3,70.34,19.95,23.446,30.29,10.665009
