kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
N/A,event record task,1,3,"""0.01""","""1624688035707479964""","""1624688035707479974"""
603/AxpyV2_tvmbin,kernel AI core task,4,2,"""0.01""","""1624688035813154334""","""1624688035813154344"""
N/A,event record task,4,3,"""2.78""","""1624688041985555014""","""1624688041985557794"""
N/A,event record task,4,4,"""6.12""","""1624688041985624764""","""1624688041985630884"""
N/A,event record task,4,6,"""0.01""","""1624688041986122204""","""1624688041986122214"""
603/AxpyV2_tvmbin,kernel AI core task,4,7,"""1.88""","""1624688042669366274""","""1624688042669368154"""
N/A,event record task,4,9,"""0.01""","""1624688042669517454""","""1624688042669517464"""
N/A,memory copy task,4,10,"""1.38""","""1624688042669908354""","""1624688042669909734"""
603/AxpyV2_tvmbin,kernel AI core task,4,12,"""0.0""","""1624688042670016624""","""1624688042670016624"""
N/A,event record task,4,13,"""1.38""","""1624688042670223834""","""1624688042670225214"""
N/A,memory copy task,4,15,"""0.01""","""1624688042670317494""","""1624688042670317504"""
N/A,event record task,4,16,"""1.47""","""1624688042670522124""","""1624688042670523594"""
N/A,event record task,4,18,"""0.01""","""1624688042670652864""","""1624688042670652874"""
N/A,event record task,4,19,"""1.31""","""1624688044984442844""","""1624688044984444154"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,20,"""4.38""","""1624688044984615094""","""1624688044984619474"""
619/Add_tvmbin,kernel AI core task,4,22,"""0.01""","""1624688044984779884""","""1624688044984779894"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,23,"""3.99""","""1624688045578551684""","""1624688045578555674"""
N/A,event record task,4,25,"""0.01""","""1624688045578671374""","""1624688045578671384"""
N/A,memory copy task,4,26,"""3.82""","""1624688045579057874""","""1624688045579061694"""
603/AxpyV2_tvmbin,kernel AI core task,4,28,"""0.01""","""1624688045579137414""","""1624688045579137424"""
N/A,event record task,4,29,"""3.88""","""1624688045579604024""","""1624688045579607904"""
N/A,memory copy task,4,31,"""0.01""","""1624688045579693954""","""1624688045579693964"""
N/A,event record task,4,32,"""3.92""","""1624688045579890494""","""1624688045579894414"""
N/A,event record task,4,34,"""0.01""","""1624688045580093894""","""1624688045580093904"""
N/A,event record task,4,35,"""1.76""","""1624688047948809574""","""1624688047948811334"""
N/A,memory copy task,4,36,"""4.13""","""1624688047948872684""","""1624688047948876814"""
603/AxpyV2_tvmbin,kernel AI core task,4,38,"""0.01""","""1624688047949022204""","""1624688047949022214"""
